Category,Module,Component/Table,Field/Action,Type,Description,Master,Senior,Mid,External,HR_Finance,Notes
UI,Operations,OverviewTab,Integration Indicators,View,"View integration status",✓,✓,✓,✗,✗,External staff cannot view integrations
UI,Operations,TasksTab,All Tasks View,View,"View all project tasks",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
UI,Operations,TasksTab,Task Filters,Action,"Filter tasks by criteria",✓,✓,✓,Assigned Only,✓,External staff only filter assigned tasks
UI,Operations,TasksTab,Critical Path View,View,"View critical path analysis",✓,✓,✓,✗,✗,External staff cannot view critical path
UI,Operations,TasksTab,New Task Button,Action,"Create new task",✓,✓,✓,✗,✗,External staff cannot create tasks
UI,Operations,PhaseTab,Phase Overview,View,"View phase information",✓,✓,✓,Assigned Only,✓,External staff only see assigned phases
UI,Operations,PhaseTab,Phase Checklist,View,"View phase checklist",✓,✓,✓,Assigned Only,✓,External staff only see assigned phases
UI,Operations,PhaseTab,Phase Checklist,Edit,"Update checklist items",✓,✓,✓,✗,✗,External staff cannot update checklists
UI,Operations,PhaseTab,Complete Phase Button,Action,"Mark phase as complete",✓,✓,✓,✗,✗,External staff cannot complete phases
UI,Operations,PhaseTab,Phase Tasks,View,"View phase-specific tasks",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
UI,Operations,PhaseTab,Phase Comments,View,"View phase comments",✓,✓,✓,Assigned Only,✓,External staff only see assigned phase comments
UI,Operations,PhaseTab,Phase Comments,Edit,"Add phase comments",✓,✓,✓,Assigned Only,✗,External staff cannot add comments
UI,Operations,TaskForm,Task Name,Edit,"Enter task name",✓,✓,✓,✗,✗,External staff cannot create tasks
UI,Operations,TaskForm,Task Description,Edit,"Enter task description",✓,✓,✓,✗,✗,External staff cannot create tasks
UI,Operations,TaskForm,Assign Task,Edit,"Assign task to team member",✓,✓,✗,✗,✗,Only Master and Senior can assign tasks
UI,Operations,TaskForm,Set Priority,Edit,"Set task priority",✓,✓,✗,✗,✗,Only Master and Senior can set priority
UI,Operations,TaskForm,Set Due Date,Edit,"Set task due date",✓,✓,✓,✗,✗,Mid level can set due dates
UI,Operations,TaskForm,Estimated Hours,Edit,"Set estimated hours",✓,✓,✓,✗,✗,Mid level can set estimates
UI,Operations,TaskDetails,Task Information,View,"View task details",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
UI,Operations,TaskDetails,Update Status,Action,"Update task status",✓,✓,✓,Own Only,✗,Users can update status of assigned tasks
UI,Operations,TaskDetails,Task Comments,View,"View task comments",✓,✓,✓,Assigned Only,✓,External staff only see assigned task comments
UI,Operations,TaskDetails,Task Comments,Edit,"Add task comments",✓,✓,✓,Assigned Only,✗,External staff cannot add comments
UI,Logistics,Logistics,Equipment Planning,Access,"Access equipment planning",✓,✓,✓,Assigned Only,✓,External staff only see assigned project logistics
UI,Logistics,Logistics,Site Allocation,Access,"Access site allocation",✓,✓,✓,Assigned Only,✓,External staff only see assigned project logistics
UI,Logistics,Logistics,Shipping Documentation,Access,"Access shipping documentation",✓,✓,✓,Assigned Only,✓,External staff only see assigned project logistics
UI,Logistics,Logistics,Equipment Categories,View,"View equipment by category",✓,✓,✓,Assigned Only,✓,External staff only see assigned project equipment
UI,Logistics,Logistics,Equipment Quantities,View,"View equipment quantities",✓,✓,✓,Assigned Only,✓,External staff only see assigned project equipment
UI,Logistics,Logistics,Equipment Quantities,Edit,"Edit equipment quantities",✓,✓,✓,✗,✗,External staff cannot edit equipment requests
UI,Logistics,Logistics,Equipment Comments,View,"View equipment comments",✓,✓,✓,Assigned Only,✓,External staff only see assigned project equipment
UI,Logistics,Logistics,Equipment Comments,Edit,"Edit equipment comments",✓,✓,✓,✗,✗,External staff cannot edit equipment comments
UI,Logistics,Logistics,Push to JUE,Action,"Push equipment request to JUE",✓,✓,✗,✗,✗,Only Master and Senior can push to JUE
UI,Logistics,Logistics,Cost Tracking,View,"View logistics costs",✓,✓,✗,✗,✓,Financial data restricted
UI,Logistics,Logistics,Cost Tracking,Edit,"Edit logistics costs",✓,✓,✗,✗,✗,Only Master and Senior can edit costs
UI,Logistics,Logistics,Push to ROI,Action,"Push costs to ROI analysis",✓,✓,✗,✗,✗,Only Master and Senior can push to ROI
UI,Logistics,Logistics,Shipping Details,View,"View shipping information",✓,✓,✓,Assigned Only,✓,External staff only see assigned project shipping
UI,Logistics,Logistics,Shipping Details,Edit,"Edit shipping information",✓,✓,✗,✗,✗,Only Master and Senior can edit shipping
UI,Logistics,Logistics,Carnet Information,View,"View carnet details",✓,✓,✓,Assigned Only,✓,External staff only see assigned project carnet
UI,Logistics,Logistics,Carnet Information,Edit,"Edit carnet details",✓,✓,✗,✗,✗,Only Master and Senior can edit carnet
UI,Logistics,Logistics,Document Checklist,View,"View document checklist",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
UI,Logistics,Logistics,Document Checklist,Edit,"Update document checklist",✓,✓,✓,✗,✗,External staff cannot update document status
UI,Logistics,Logistics,Generate Documents,Action,"Generate shipping documents",✓,✓,✗,✗,✗,Only Master and Senior can generate documents
UI,Logistics,Logistics,Upload Documents,Action,"Upload shipping documents",✓,✓,✓,✗,✗,External staff cannot upload documents
UI,Crew Management,CrewManagement,Crew Assignment,Access,"Access crew assignment",✓,✓,✓,✗,✗,External staff cannot access crew management
UI,Crew Management,CrewManagement,Crew Requirements,View,"View crew requirements",✓,✓,✓,✗,✓,External staff cannot view crew requirements
UI,Crew Management,CrewManagement,Crew Requirements,Edit,"Edit crew requirements",✓,✓,✗,✗,✗,Only Master and Senior can edit requirements
UI,Crew Management,CrewManagement,AI Suggestions,View,"View AI crew suggestions",✓,✓,✓,✗,✗,External staff cannot view AI suggestions
UI,Crew Management,CrewManagement,Assigned Crew,View,"View assigned crew list",✓,✓,✓,✗,✓,External staff cannot view crew assignments
UI,Crew Management,CrewManagement,Assigned Crew,Edit,"Modify crew assignments",✓,✓,✗,✗,✗,Only Master and Senior can assign crew
UI,Crew Management,CrewManagement,Crew Compliance,View,"View crew compliance status",✓,✓,✓,✗,✓,External staff cannot view compliance
UI,Crew Management,CrewManagement,Crew Documents,View,"View crew documents",✓,✓,✓,✗,✓,External staff cannot view crew documents
UI,Crew Management,CrewManagement,Request Documents,Action,"Request crew documents",✓,✓,✓,✗,✗,External staff cannot request documents
UI,Crew Management,CrewManagement,Export Documents,Action,"Export crew documents",✓,✓,✗,✗,✓,Document export restricted
UI,Crew Management,CrewManagement,Travel Booking,View,"View travel arrangements",✓,✓,✓,✗,✓,External staff cannot view travel
UI,Crew Management,CrewManagement,Travel Booking,Edit,"Edit travel arrangements",✓,✓,✗,✗,✗,Only Master and Senior can edit travel
UI,Crew Management,CrewManagement,Accommodation,View,"View accommodation details",✓,✓,✓,✗,✓,External staff cannot view accommodation
UI,Crew Management,CrewManagement,Accommodation,Edit,"Edit accommodation details",✓,✓,✗,✗,✗,Only Master and Senior can edit accommodation
UI,Crew Management,CrewManagement,Crew Costs,View,"View crew cost breakdown",✓,✓,✗,✗,✓,Financial data restricted
UI,Crew Management,CrewManagement,Crew Costs,Edit,"Edit crew costs",✓,✓,✗,✗,✗,Only Master and Senior can edit crew costs
UI,Crew Management,CrewManagement,Crew Rota,View,"View crew schedule",✓,✓,✓,Own Only,✓,External staff only see own schedule
UI,Crew Management,CrewManagement,Crew Rota,Edit,"Edit crew schedule",✓,✓,✗,✗,✗,Only Master and Senior can edit schedules
UI,Team Management,TeamPage,All Profiles,View,"View all team profiles",✓,✓,✓,✗,✓,External staff cannot view all profiles
UI,Team Management,TeamPage,Internal Profiles,View,"View internal team profiles",✓,✓,✓,✗,✓,External staff cannot view internal profiles
UI,Team Management,TeamPage,Spain Profiles,View,"View Spain crew profiles",✓,✓,✓,Spain Only,✓,Spain crew can view other Spain crew
UI,Team Management,TeamPage,Contractor Profiles,View,"View contractor profiles",✓,✓,✓,Contractor Only,✓,Contractors can view other contractors
UI,Team Management,TeamPage,Profile Details,View,"View detailed profile information",✓,✓,✓,Own Only,✓,Users can view own profile details
UI,Team Management,TeamPage,Profile Details,Edit,"Edit profile information",✓,✓,Own Only,Own Only,✓,Users can edit own profile
UI,Team Management,TeamPage,Platform Statistics,View,"View platform overview stats",✓,✓,✗,✗,✓,Statistics restricted to Master/Senior/HR
UI,Settings,SettingsHoldingPage,Settings Access,Access,"Access settings module",✓,✓,✓,✓,✓,All users can access settings
UI,Settings,SettingsHoldingPage,Profile Settings,Access,"Access profile settings",✓,✓,✓,✓,✓,All users can access profile settings
UI,Settings,SettingsHoldingPage,System Settings,Access,"Access system settings",✓,✓,✗,✗,✗,Only Master and Senior can access system settings
UI,Settings,ProfileSettingsPage,Personal Info,View,"View personal information",✓,✓,✓,✓,✓,Users can view own profile
UI,Settings,ProfileSettingsPage,Personal Info,Edit,"Edit personal information",✓,✓,✓,✓,✓,Users can edit own profile
UI,Settings,ProfileSettingsPage,Account Security,View,"View security settings",✓,✓,✓,✓,✓,Users can view own security settings
UI,Settings,ProfileSettingsPage,Account Security,Edit,"Edit security settings",✓,✓,✓,✓,✓,Users can edit own security settings
UI,Settings,ProfileSettingsPage,Change Password,Action,"Change account password",✓,✓,✓,✓,✓,Users can change own password
UI,Settings,ProfileSettingsPage,Two-Factor Auth,Action,"Enable/disable 2FA",✓,✓,✓,✓,✓,Users can manage own 2FA
UI,Settings,ProfileSettingsPage,Preferences,View,"View user preferences",✓,✓,✓,✓,✓,Users can view own preferences
UI,Settings,ProfileSettingsPage,Preferences,Edit,"Edit user preferences",✓,✓,✓,✓,✓,Users can edit own preferences
UI,Settings,SystemSettingsPage,System Configuration,View,"View system configuration",✓,✓,✗,✗,✗,Only Master and Senior can view system config
UI,Settings,SystemSettingsPage,System Configuration,Edit,"Edit system configuration",✓,✗,✗,✗,✗,Only Master can edit system config
UI,Settings,SystemSettingsPage,API Integration,View,"View API integration settings",✓,✓,✗,✗,✗,Only Master and Senior can view API settings
UI,Settings,SystemSettingsPage,API Integration,Edit,"Edit API integration settings",✓,✗,✗,✗,✗,Only Master can edit API settings
UI,Settings,SystemSettingsPage,Currency Settings,Edit,"Edit default currency",✓,✗,✗,✗,✗,Only Master can edit currency settings
UI,Settings,SystemSettingsPage,Date Format,Edit,"Edit date format settings",✓,✓,✗,✗,✗,Only Master and Senior can edit date formats
UI,Notifications,ProjectNotifications,Notifications Access,Access,"Access project notifications",✓,✓,✓,Assigned Only,✓,External staff only see assigned project notifications
UI,Notifications,ProjectNotifications,Mark as Read,Action,"Mark notifications as read",✓,✓,✓,✓,✓,Users can mark own notifications as read
UI,Notifications,ProjectNotifications,Filter Notifications,Action,"Filter notifications by type",✓,✓,✓,✓,✓,Users can filter own notifications
UI,Notifications,ProjectNotifications,Notification Actions,Action,"Take action on notifications",✓,✓,✓,Assigned Only,✗,External staff cannot take actions on notifications
UI,Header,Header,Search Function,Action,"Search across platform",✓,✓,✓,Assigned Only,✓,External staff only search assigned content
UI,Header,Header,User Profile Menu,Access,"Access user profile menu",✓,✓,✓,✓,✓,Users can access own profile menu
UI,Header,Header,Navigate to Dashboard,Action,"Navigate to dashboard",✓,✓,✓,✗,✓,External staff cannot access main dashboard
UI,Sidebar,Sidebar,Dashboard Navigation,Action,"Navigate to dashboard",✓,✓,✓,✗,✓,External staff cannot access main dashboard
UI,Sidebar,Sidebar,Pipeline Navigation,Action,"Navigate to sales pipeline",✓,✓,✓,✗,✓,External staff cannot access sales pipeline
UI,Sidebar,Sidebar,Projects Navigation,Action,"Navigate to projects",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Sidebar,Sidebar,Clients Navigation,Action,"Navigate to clients",✓,✓,✓,✗,✓,External staff cannot access client management
UI,Sidebar,Sidebar,Team Navigation,Action,"Navigate to team management",✓,✓,✓,✗,✓,External staff cannot access team management
UI,Sidebar,Sidebar,Reports Navigation,Action,"Navigate to reports",✓,✓,✗,✗,✓,Reports restricted to Master/Senior/HR
UI,Sidebar,Sidebar,Settings Navigation,Action,"Navigate to settings",✓,✓,✓,✓,✓,All users can access settings
API,Authentication,/auth/login,POST,Action,"Authenticate user login",✓,✓,✓,✓,✓,Public authentication endpoint
API,Authentication,/auth/logout,POST,Action,"Logout user session",✓,✓,✓,✓,✓,Public logout endpoint
API,Authentication,/auth/signup,POST,Action,"Register new user account",✓,✓,✓,✓,✓,Public registration endpoint
API,User Management,/api/users,GET,View,"Retrieve users list",✓,✓,✓,✗,✓,External staff cannot list all users
API,User Management,/api/users,POST,Create,"Create new user",✓,✓,✗,✗,✗,Only Master and Senior can create users
API,User Management,/api/users/:id,GET,View,"Retrieve specific user",✓,✓,✓,Own Only,✓,Users can view own profile
API,User Management,/api/users/:id,PUT,Edit,"Update user information",✓,✓,Own Only,Own Only,✓,Users can edit own profile
API,User Management,/api/users/:id,DELETE,Delete,"Delete user account",✓,✗,✗,✗,✗,Only Master can delete users
API,Client Management,/api/clients,GET,View,"Retrieve clients list",✓,✓,✓,✗,✓,External staff cannot access client data
API,Client Management,/api/clients,POST,Create,"Create new client",✓,✓,✗,✗,✗,Only Master and Senior can create clients
API,Client Management,/api/clients/:id,GET,View,"Retrieve specific client",✓,✓,✓,✗,✓,External staff cannot access client data
API,Client Management,/api/clients/:id,PUT,Edit,"Update client information",✓,✓,✗,✗,✗,Only Master and Senior can edit clients
API,Client Management,/api/clients/:id,DELETE,Delete,"Delete client",✓,✗,✗,✗,✗,Only Master can delete clients
API,Project Management,/api/projects,GET,View,"Retrieve projects list",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
API,Project Management,/api/projects,POST,Create,"Create new project",✓,✓,✗,✗,✗,Only Master and Senior can create projects
API,Project Management,/api/projects/:id,GET,View,"Retrieve specific project",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
API,Project Management,/api/projects/:id,PUT,Edit,"Update project information",✓,✓,✗,✗,✗,Only Master and Senior can edit projects
API,Project Management,/api/projects/:id,DELETE,Delete,"Delete project",✓,✗,✗,✗,✗,Only Master can delete projects
API,Project Management,/api/projects/:id/documents,GET,View,"Retrieve project documents",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
API,Project Management,/api/projects/:id/documents,POST,Create,"Upload project document",✓,✓,✓,✗,✗,External staff cannot upload documents
API,Project Management,/api/projects/:id/documents/:docId,DELETE,Delete,"Delete project document",✓,✓,✗,✗,✗,Only Master and Senior can delete documents
API,Sales Pipeline,/api/opportunities,GET,View,"Retrieve opportunities list",✓,✓,✓,✗,✓,External staff cannot access sales data
API,Sales Pipeline,/api/opportunities,POST,Create,"Create new opportunity",✓,✓,✗,✗,✗,Only Master and Senior can create opportunities
API,Sales Pipeline,/api/opportunities/:id,GET,View,"Retrieve specific opportunity",✓,✓,✓,✗,✓,External staff cannot access sales data
API,Sales Pipeline,/api/opportunities/:id,PUT,Edit,"Update opportunity information",✓,✓,✗,✗,✗,Only Master and Senior can edit opportunities
API,Sales Pipeline,/api/opportunities/:id,DELETE,Delete,"Delete opportunity",✓,✗,✗,✗,✗,Only Master can delete opportunities
API,Sales Pipeline,/api/opportunities/:id/activities,GET,View,"Retrieve opportunity activities",✓,✓,✓,✗,✓,External staff cannot access sales data
API,Sales Pipeline,/api/opportunities/:id/activities,POST,Create,"Create opportunity activity",✓,✓,✓,✗,✗,Mid level can add activities
API,Sales Pipeline,/api/opportunities/:id/convert,POST,Action,"Convert opportunity to project",✓,✓,✗,✗,✗,Only Master and Senior can convert
API,Sales Pipeline,/api/pipeline/metrics,GET,View,"Retrieve pipeline metrics",✓,✓,✗,✗,✓,Financial metrics restricted
API,ROI Analysis,/api/roi/:projectId,GET,View,"Retrieve ROI calculation",✓,✓,✗,✗,✓,Financial data restricted
API,ROI Analysis,/api/roi/:projectId,POST,Create,"Create ROI calculation",✓,✓,✗,✗,✗,Only Master and Senior can create ROI
API,ROI Analysis,/api/roi/:projectId,PUT,Edit,"Update ROI calculation",✓,✓,✗,✗,✗,Only Master and Senior can edit ROI
API,ROI Analysis,/api/roi/:projectId/export/excel,GET,Export,"Export ROI to Excel",✓,✓,✗,✗,✓,Financial export restricted
API,ROI Analysis,/api/roi/:projectId/export/quickbooks,GET,Export,"Export ROI to QuickBooks",✓,✗,✗,✗,✓,Only Master and HR can export to accounting
API,ROI Analysis,/api/roi/:projectId/approve,POST,Action,"Approve ROI calculation",✓,✗,✗,✗,✗,Only Master can approve ROI
API,ROI Analysis,/api/roi/templates,GET,View,"Retrieve ROI templates",✓,✓,✗,✗,✓,Financial templates restricted
API,ROI Analysis,/api/roi/templates,POST,Create,"Create ROI template",✓,✗,✗,✗,✗,Only Master can create templates
API,Operations,/api/operations/:projectId/phases,GET,View,"Retrieve project phases",✓,✓,✓,Assigned Only,✓,External staff only see assigned project phases
API,Operations,/api/operations/:projectId/phases,POST,Create,"Create project phase",✓,✓,✗,✗,✗,Only Master and Senior can create phases
API,Operations,/api/operations/:projectId/phases/:id,PUT,Edit,"Update project phase",✓,✓,✓,✗,✗,Mid level can update phase progress
API,Operations,/api/operations/:projectId/phases/:id/complete,POST,Action,"Complete project phase",✓,✓,✓,✗,✗,Mid level can complete phases
API,Operations,/api/operations/:projectId/tasks,GET,View,"Retrieve project tasks",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
API,Operations,/api/operations/:projectId/tasks,POST,Create,"Create project task",✓,✓,✓,✗,✗,External staff cannot create tasks
API,Operations,/api/operations/:projectId/tasks/:id,PUT,Edit,"Update project task",✓,✓,✓,Own Only,✗,Users can update assigned tasks
API,Operations,/api/operations/:projectId/tasks/:id,DELETE,Delete,"Delete project task",✓,✓,✗,✗,✗,Only Master and Senior can delete tasks
API,Operations,/api/operations/:projectId/team,GET,View,"Retrieve project team",✓,✓,✓,Assigned Only,✓,External staff only see assigned project team
API,Operations,/api/operations/:projectId/critical-path,GET,View,"Retrieve critical path analysis",✓,✓,✓,✗,✗,External staff cannot view critical path
API,Operations,/api/operations/:projectId/integrations,GET,View,"Retrieve integration status",✓,✓,✓,✗,✗,External staff cannot view integrations
API,Operations,/api/operations/:projectId/sync/jira,POST,Action,"Sync project to Jira",✓,✓,✗,✗,✗,Only Master and Senior can sync to Jira
API,Operations,/api/operations/:projectId/sync/jue,POST,Action,"Sync equipment to JUE",✓,✓,✗,✗,✗,Only Master and Senior can sync to JUE
API,Operations,/api/operations/:projectId/sync/rms,POST,Action,"Sync resources to RMS",✓,✓,✗,✗,✗,Only Master and Senior can sync to RMS
API,Logistics,/api/logistics/:projectId/equipment,GET,View,"Retrieve equipment allocations",✓,✓,✓,Assigned Only,✓,External staff only see assigned project equipment
API,Logistics,/api/logistics/:projectId/equipment,POST,Create,"Create equipment allocation",✓,✓,✗,✗,✗,Only Master and Senior can allocate equipment
API,Logistics,/api/logistics/:projectId/equipment/:id,PUT,Edit,"Update equipment allocation",✓,✓,✗,✗,✗,Only Master and Senior can modify allocations
API,Logistics,/api/logistics/:projectId/equipment/:id,DELETE,Delete,"Delete equipment allocation",✓,✓,✗,✗,✗,Only Master and Senior can delete allocations
API,Logistics,/api/logistics/:projectId/shipping,GET,View,"Retrieve shipping information",✓,✓,✓,Assigned Only,✓,External staff only see assigned project shipping
API,Logistics,/api/logistics/:projectId/shipping,PUT,Edit,"Update shipping information",✓,✓,✗,✗,✗,Only Master and Senior can edit shipping
API,Logistics,/api/logistics/:projectId/costs,GET,View,"Retrieve logistics costs",✓,✓,✗,✗,✓,Financial data restricted
API,Logistics,/api/logistics/:projectId/costs,PUT,Edit,"Update logistics costs",✓,✓,✗,✗,✗,Only Master and Senior can edit costs
API,Team Management,/api/team,GET,View,"Retrieve team members list",✓,✓,✓,✗,✓,External staff cannot list all team members
API,Team Management,/api/team/:id,GET,View,"Retrieve team member profile",✓,✓,✓,Own Only,✓,Users can view own profile
API,Team Management,/api/team/:id,PUT,Edit,"Update team member profile",✓,✓,Own Only,Own Only,✓,Users can edit own profile
API,Team Management,/api/team/:id/availability,PUT,Edit,"Update availability status",✓,✓,Own Only,Own Only,✗,Users can update own availability
API,Team Management,/api/team/:id/skills,PUT,Edit,"Update skills list",✓,✓,Own Only,Own Only,✓,Users can update own skills
API,Documents,/api/documents/templates,GET,View,"Retrieve document templates",✓,✓,✓,✗,✓,External staff cannot access templates
API,Documents,/api/documents/templates,POST,Create,"Create document template",✓,✓,✗,✗,✗,Only Master and Senior can create templates
API,Documents,/api/documents/templates/:id,PUT,Edit,"Update document template",✓,✓,✗,✗,✗,Only Master and Senior can edit templates
API,Documents,/api/documents/templates/:id,DELETE,Delete,"Delete document template",✓,✗,✗,✗,✗,Only Master can delete templates
API,Documents,/api/documents/upload,POST,Create,"Upload document file",✓,✓,✓,✗,✗,External staff cannot upload documents
API,Documents,/api/documents/:id/download,GET,Export,"Download document file",✓,✓,✓,Assigned Only,✓,External staff only download assigned project documents
API,Notifications,/api/notifications/:projectId,GET,View,"Retrieve project notifications",✓,✓,✓,Assigned Only,✓,External staff only see assigned project notifications
API,Notifications,/api/notifications/:id/read,PUT,Edit,"Mark notification as read",✓,✓,✓,✓,✓,Users can mark own notifications as read
API,Notifications,/api/notifications/unread-count,GET,View,"Get unread notification count",✓,✓,✓,✓,✓,Users can see own unread count
API,Reports,/api/reports/projects,GET,Export,"Export projects report",✓,✓,✗,✗,✓,Reports restricted to Master/Senior/HR
API,Reports,/api/reports/sales,GET,Export,"Export sales report",✓,✓,✗,✗,✓,Financial reports restricted
API,Reports,/api/reports/roi,GET,Export,"Export ROI report",✓,✓,✗,✗,✓,Financial reports restricted
API,Reports,/api/reports/team,GET,Export,"Export team report",✓,✓,✗,✗,✓,Team reports restricted
API,Reports,/api/reports/operations,GET,Export,"Export operations report",✓,✓,✓,✗,✓,External staff cannot access operations reports
API,System,/api/system/health,GET,View,"Check system health",✓,✓,✗,✗,✗,Only Master and Senior can check system health
API,System,/api/system/logs,GET,View,"Retrieve system logs",✓,✗,✗,✗,✗,Only Master can access system logs
API,System,/api/system/backup,POST,Action,"Trigger system backup",✓,✗,✗,✗,✗,Only Master can trigger backups
API,System,/api/system/config,GET,View,"Retrieve system configuration",✓,✓,✗,✗,✗,Only Master and Senior can view system config
API,System,/api/system/config,PUT,Edit,"Update system configuration",✓,✗,✗,✗,✗,Only Master can edit system config
API,Integration,/api/integrations/jira/status,GET,View,"Check Jira integration status",✓,✓,✗,✗,✗,Only Master and Senior can check integrations
API,Integration,/api/integrations/jue/status,GET,View,"Check JUE integration status",✓,✓,✗,✗,✗,Only Master and Senior can check integrations
API,Integration,/api/integrations/rms/status,GET,View,"Check RMS integration status",✓,✓,✗,✗,✗,Only Master and Senior can check integrations
API,Integration,/api/integrations/quickbooks/sync,POST,Action,"Sync with QuickBooks",✓,✗,✗,✗,✓,Only Master and HR can sync accounting
API,Audit,/api/audit/logs,GET,View,"Retrieve audit logs",✓,✗,✗,✗,✓,Only Master and HR can access audit logs
API,Audit,/api/audit/user-activity,GET,View,"Retrieve user activity logs",✓,✓,✗,✗,✓,Only Master/Senior/HR can view user activity
API,Audit,/api/audit/financial-changes,GET,View,"Retrieve financial change logs",✓,✗,✗,✗,✓,Only Master and HR can view financial audit
API,Bulk Operations,/api/bulk/projects/export,GET,Export,"Bulk export projects",✓,✓,✗,✗,✓,Bulk export restricted
API,Bulk Operations,/api/bulk/projects/import,POST,Create,"Bulk import projects",✓,✗,✗,✗,✗,Only Master can bulk import
API,Bulk Operations,/api/bulk/users/export,GET,Export,"Bulk export users",✓,✗,✗,✗,✓,Only Master and HR can export users
API,Bulk Operations,/api/bulk/opportunities/export,GET,Export,"Bulk export opportunities",✓,✓,✗,✗,✓,Financial bulk export restricted
API,Archive,/api/archive/projects,GET,View,"Access archived projects",✓,✓,✗,✗,✓,Archive access restricted
API,Archive,/api/archive/opportunities,GET,View,"Access archived opportunities",✓,✓,✗,✗,✓,Archive access restricted
API,Archive,/api/archive/restore/:id,POST,Action,"Restore archived item",✓,✗,✗,✗,✗,Only Master can restore archived items
System,Platform,Master User Access,All,Access,"Full platform access and control",✓,✗,✗,✗,✗,James Tyson master user access
System,Platform,User Approval,All,Action,"Approve new user registrations",✓,✗,✗,✗,✗,Only Master can approve new users
System,Platform,Role Assignment,All,Action,"Assign user roles and permissions",✓,✓,✗,✗,✗,Only Master and Senior can assign roles
System,Platform,Data Export,All,Export,"Export all platform data",✓,✗,✗,✗,✓,Only Master and HR can export all data
System,Platform,System Maintenance,All,Action,"Perform system maintenance",✓,✗,✗,✗,✗,Only Master can perform maintenance
System,Financial,Margin Approval,All,Action,"Approve margins below 50%",✓,✗,✗,✗,✗,Only Master can approve low margins
System,Financial,Cost Ratio Approval,All,Action,"Approve cost ratios above 60%",✓,✗,✗,✗,✗,Only Master can approve high cost ratios
System,Financial,Financial Audit,All,View,"Access financial audit trails",✓,✗,✗,✗,✓,Only Master and HR can access financial audits
System,Communication,Email All Crew,All,Action,"Send emails to all crew members",✓,✓,✗,✗,✗,Only Master and Senior can email all crew
System,Communication,WhatsApp Groups,All,Action,"Create/manage WhatsApp groups",✓,✓,✓,✗,✗,External staff cannot manage groups
System,Communication,Teams Channels,All,Action,"Create/manage Teams channels",✓,✓,✓,✗,✗,External staff cannot manage channels
System,Emergency,Critical Escalation,All,Action,"Access critical escalation contacts",✓,✓,✓,Assigned Only,✗,External staff only for assigned projects
System,Emergency,Emergency Contacts,All,View,"View emergency contact information",✓,✓,✓,Own Only,✓,Users can view own emergency contacts
System,Emergency,Emergency Contacts,All,Edit,"Edit emergency contact information",✓,✓,Own Only,Own Only,✓,Users can edit own emergency contacts
